Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Tau Homeostasis, Vasculature
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, APP Metabolism, Proteostasis
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Apoptosis, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Oxidative Stress, Synapse, Endolysosome
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Synapse, Lipid Metabolism
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Vasculature, Apoptosis
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
