Running with TEMP=0.5, sub_array_index=34
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 34: rows 16500 to 16999
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Dextrin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Sarcosine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Sarcosine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Gentamycin Metabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Insulin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Insulin Catabolic Process -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Synapse, Developmental Process, Reproductive Process, Cellular Process, Structural Stabilization
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Naphthalene Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, RNA Spliceosome
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Synapse
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Synapse
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Synapse
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Autophagy, Epigenetic, Endolysosome
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Synapse, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Carbohydrate Derivative Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Tartrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Succinyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Succinyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Nucleoside Phosphate Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nucleoside Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy, Epigenetic
GO Term: Negative Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Spermidine Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Synapse, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Flagellated Sperm Motility -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Flagellated Sperm Motility -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Response To Tacrolimus -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Odontoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Odontoblast Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Odontoblast Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Lactone Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Endolysosome, Immune Response
GO Term: Negative Regulation Of Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Negative Regulation Of Vasculature Development Involved In Avascular Cornea Development In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Response To Rapamycin -> Biodomain: Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Heterocyclic Compound Binding -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Lipid Hydroperoxide Transport -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Azole Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyruvate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oleate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Regulation Of Cysteine Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Diphenyl Ether -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Carbohydrate Derivative Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Synapse
GO Term: Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Mitophagy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Mitophagy -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Synapse, Oxidative Stress
GO Term: Positive Regulation Of Anion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Response To Fenofibrate -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Response To Metformin -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Response To Paraquat -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Derivative Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Fatty Acid Derivative Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Fatty Acid Derivative Transport -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Microtubule -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Capsazepine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Alpha-Amino Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Vesicle Transport Along Microtubule -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Phosphatidylglycerol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Cardiolipin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Negative Regulation Of Lymphocyte Chemotaxis -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Cellular Response To Ergosterol -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nucleoside Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Synoviocyte Proliferation -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synoviocyte Proliferation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Response To Peptide -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Endolysosome
GO Term: Cellular Response To Peptide -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Response To Ketone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Calcium Ion Export -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Quinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Quinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Regulation Of Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Epigenetic
GO Term: Nucleotide Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Sulfur Compound Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Arsenate Ion Transmembrane Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Synapse
GO Term: Glutathione Derivative Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Proton Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cannabinoid Biosynthetic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Cellular Response To Oxygen-Containing Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Mesenchymal Cell Differentiation Involved In Bone Development -> Biodomain: Structural Stabilization, Cell Differentiation, Developmental Process, Skeletal System, Tissue Development
GO Term: Leptomycin B Binding -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Lipid Metabolism
GO Term: Negative Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Immune Response
GO Term: Positive Regulation Of Platelet Aggregation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Endolysosome
