Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Benzene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Phthalate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Propylene Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Guanyl Nucleotide Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Autophagy
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Synapse
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Immune Response, Endolysosome, APP Metabolism, Proteostasis, Synapse
GO Term: Virion Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Virus Maturation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Synapse
GO Term: Viral Genome Replication -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Viral Translation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Viral Protein Processing -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Viral Transcription -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Reproductive Behavior -> Biodomain: Synapse, Immune Response, Endolysosome, Autophagy, Epigenetic
GO Term: Male Germ-Line Sex Determination -> Biodomain: Apoptosis, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Endolysosome, Proteostasis
GO Term: Male Somatic Sex Determination -> Biodomain: Developmental Process, Reproductive Process, Cell Cycle, Epigenetic, Immune Response
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Myristoyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, Autophagy, Synapse
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: D-Ribulokinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Mannokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Nucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Kinase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Synapse, Apoptosis
GO Term: Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Kinase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Apoptosis, Autophagy, Synapse
GO Term: Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Deacetylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Autophagy
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Apoptosis
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Apoptosis
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Proprioception -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Response To Pheromone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Metal Binding and Homeostasis
GO Term: Centromeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Deaminase Activity -> Biodomain: Proteostasis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Citrulline Biosynthetic Process -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, APP Metabolism
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Immune Response
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Inositol Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Synapse
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
