Running with TEMP=0.9, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Endolysosome
GO Term: Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Serotonin Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Glyceraldehyde -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Cellular Response To Acetaldehyde -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Proline Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Apoptosis, Immune Response
GO Term: Negative Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Torc1 Complex Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Torc2 Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Lipid Droplet Disassembly -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Membrane Permeability -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Permeability -> Biodomain: Vasculature, Immune Response, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Cornification -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Protein Localization To Perinuclear Region Of Cytoplasm -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
