Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Vasculature, Apoptosis, Immune Response, Autophagy
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Cell Cycle
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Cell Cycle
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Proteostasis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Autophagy, Endolysosome, Apoptosis
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
