Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Myelination  
Structural Stabilization  
Mitochondrial Metabolism  
Tau Homeostasis  
Lipid Metabolism
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Endolysosome
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Apoptosis
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Differentiation, Cell Cycle
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Synapse  
Structural Stabilization  
Myelination  
Cell Cycle  
Endolysosome
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Telencephalon Regionalization -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Pituitary Gland Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
