Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Zinc Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: L-Glutamine, Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: L-Asparagine, Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Histidine, Sodium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Histone H2B C-Terminal K Residue Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, Ubiquitin Ligase Activity, DNA Repair, Cell Cycle
GO Term: Histone Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Cholesterol-Protein Transferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Synapse
GO Term: Histone H3T45 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H2Ak15 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Dna Repair-Dependent Chromatin Remodeling -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Histone H2Ak119 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone H2Ak127 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Apoptosis, Cell Cycle
GO Term: Histone H2Ak129 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Apoptosis, Cell Cycle
GO Term: Interleukin-22-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mirna Inhibitor Activity Via Base-Pairing -> Biodomain: Epigenetic, Autophagy, Apoptosis, Proteostasis, RNA Spliceosome
GO Term: Rna Polymerase Inhibitor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Unknown
GO Term: Zinc Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Dna Replication-Dependent Chromatin Disassembly -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Sodium,Bicarbonate:Chloride Antiporter Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Neutral Amino Acid, Sodium:Proton Antiporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Endolysosomal Toll-Like Receptor Signaling Pathway -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cell Surface Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Mechanoreceptor Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Unknown
GO Term: Chloride:Bicarbonate Antiporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: L-Asparagine:Sodium Symporter Activity -> Biodomain: Endolysosome, Proteostasis, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: L-Glutamine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Immune Response
GO Term: Histone H3K122 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Pore-Forming Activity -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Membrane Destabilizing Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Zinc Ion Import Into Secretory Vesicle -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Zinc Ion Import Into Zymogen Granule -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Zinc Ion Import Into Lysosome -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Zinc Ion Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
