Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Lipid Metabolism
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Epigenetic, Cell Cycle
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Lipid Metabolism
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Proteostasis
GO Term: Telencephalon Regionalization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Pituitary Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Vasculature
GO Term: Adenohypophysis Development -> Biodomain: Vasculature, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Neurohypophysis Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Synapse
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Epigenetic
GO Term: Neural Plate Axis Specification -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Vasculature
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Myelination
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, RNA Spliceosome, Autophagy
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Synapse, Lipid Metabolism
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Synapse, Proteostasis
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Epigenetic
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Brain Development, Developmental Biology, Stem Cell Proliferation, Epigenetic
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Metencephalon Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Corpus Callosum Development -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Epigenetic
GO Term: Hair Cycle Process -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Membrane Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Reproductive Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Digestive System Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Ovulation Cycle Process -> Biodomain: Reproductive Processes, Hormonal Signaling, Developmental Processes, Cellular Homeostasis, Cell Cycle Regulation
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Mammalian Oogenesis Stage -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Mitochondrial Metabolism
GO Term: Gland Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Protein To Membrane Docking -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Dna Strand Elongation -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Extracellular Matrix Disassembly -> Biodomain: Proteostasis, Vasculature, Immune Response, Structural Stabilization, Apoptosis
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Ion Homeostasis, Ion Channel, Neurotransmission, Cell Signaling
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Gated Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Endolysosome
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Leak Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Myelination, Oxidative Stress
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Myelination, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
