Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Symbiont -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Wounding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Autophagy
GO Term: Response To Virus -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Response To Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Response To Nematode -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Adhesion, Mechanotransduction, Vasculature
GO Term: Cold Acclimation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, Autophagy, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Response To Light Intensity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Photoperiodism -> Biodomain: Circadian Rhythm, Epigenetic, Cell Cycle, Endolysosome, Autophagy
GO Term: Entrainment Of Circadian Clock -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Uv Protection -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Myelination, Synapse
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Ethylene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Fructose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Blue Light Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
