Running with TEMP=0.1, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Dna Protection -> Biodomain: Oxidative Stress, DNA Repair, Immune Response, Apoptosis, Epigenetic
GO Term: Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Proteostasis
GO Term: Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Autophagy
GO Term: Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Susceptibility To Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Nuclear Rna Export Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Ribosomal Large Subunit Biogenesis -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Ribosomal Small Subunit Biogenesis -> Biodomain: Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Error-Free Postreplication Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Peptide Binding -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Apoptosis, Endolysosome
GO Term: Purine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Immune Response, Vasculature
GO Term: Dolichyl Pyrophosphate Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dolichyl Pyrophosphate Glc1Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Sphingolipid Delta-4 Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Xylosyltransferase Activity -> Biodomain: Glycosylation, Lipid Metabolism, Proteoglycan Synthesis, Extracellular Matrix, Cell Adhesion
GO Term: Mhc Protein Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Mhc Class I Protein Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Mhc Class Ii Protein Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Urm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Isg15 Transferase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, APP Metabolism, Endolysosome
GO Term: Vocal Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Phosphate Ion Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Homoiothermy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vasodilation -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Protein Kinase C Deactivation -> Biodomain: Signal Transduction, Phosphorylation, Cell Regulation, Apoptosis, Immune Response
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Autophagy, Tau Homeostasis, APP Metabolism, Proteostasis
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Sleep, Circadian, Regulatory, Cell Biology, Neuronal Signaling
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Phosphorylation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Negative Regulation Of Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Phosphorylation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Heparan Sulfate N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosaminoglycan Metabolism, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Cuticle Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Keratan Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Myelination
GO Term: Keratan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: 'De Novo' Gdp-L-Fucose Biosynthetic Process -> Biodomain: Glycosylation,Immune Response,Proteostasis,Lipid Metabolism,Endolysosome
GO Term: Gdp-L-Fucose Salvage -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: L-Fucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Gdp-4-Dehydro-D-Rhamnose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Thiamine Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Vitamin D Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic, Immune Response
GO Term: Vitamin E Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Menaquinone Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Vitamin D Catabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Vitamin K Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism
GO Term: Vitamin K Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Phylloquinone Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Vasculature, Oxidative Stress
GO Term: Phylloquinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Vitamin K Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Paraspeckles -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Sarcolemma -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Regulation Of Membrane Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Sphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Histone Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Biogenic Amine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Thyroid Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Thyroid Hormone Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Nuclear Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Taurine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
