Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Photoreceptor Cell Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Chemorepellent Activity -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Structural Stabilization
GO Term: Dynein Light Chain Binding -> Biodomain: Synapse, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Dynein Heavy Chain Binding -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Dynein Intermediate Chain Binding -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Cell Cycle, Synapse
GO Term: Interleukin-27 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-27 Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-18 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Interleukin-20 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Interleukin-22 Receptor Binding -> Biodomain: Immune Response, Receptor Signaling, Cell Growth and Proliferation, Inflammatory Response, Cell Communication
GO Term: Interleukin-23 Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Interleukin-27 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Syndecan Binding -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Ditrans,Polycis-Polyprenyl Diphosphate Synthase [(2E,6E)-Farnesyl Diphosphate Specific] Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Geranylgeranyl Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Trail Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Basophil Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Mast Cell Activation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Cell Signaling, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Differentiation -> Biodomain: Developmental Biology, Stem Cell Biology, Cell Cycle, Epigenetic, Cell Fate Specification
GO Term: Positive Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Negative Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Epigenetic, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Epigenetic
GO Term: Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Epidermal Cell Differentiation -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
