Running with TEMP=0.1, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Mesonephric Duct Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Nephric Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Nephric Duct Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mesonephric Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Mesonephric Duct Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Renal Vesicle Progenitor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Proteostasis
GO Term: Ureter Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Ureter Urothelium Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Ureter Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Ureter Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Epigenetic
GO Term: Metanephric Collecting Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Metanephric Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Metanephric Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Metanephric Nephron Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Metanephric Capsule Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Metanephric Cortex Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Metanephric Ascending Thin Limb Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Metanephric Cortical Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Metanephric Descending Thin Limb Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Metanephric Distal Convoluted Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis
GO Term: Metanephric Macula Densa Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Metanephric Proximal Convoluted Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Metanephric Proximal Straight Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Metanephric Proximal Convoluted Tubule Segment 2 Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Metanephric Thick Ascending Limb Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Metanephric Nephron Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Metanephric Distal Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Metanephric Loop Of Henle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Metanephric Proximal Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Metanephric Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Metanephric Dct Cell Differentiation -> Biodomain: Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Glomerular Mesangial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Metanephric Glomerular Mesangial Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Metanephric Interstitial Fibroblast Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Immune Response
GO Term: Metanephric Glomerular Mesangial Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Metanephric Capsule Specification -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Pattern Specification Involved In Metanephros Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Proximal/Distal Pattern Formation Involved In Metanephric Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Nephron Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Metanephric Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Autophagy
GO Term: Metanephric Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Metanephric Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Endolysosome
GO Term: Metanephric S-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephric Renal Vesicle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Metanephric Connecting Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Distal Tubule Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Metanephric Nephron Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Metanephric Glomerulus Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Metanephric Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Autophagy
GO Term: Positive Regulation Of Glomerular Metanephric Mesangial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephric Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis
GO Term: Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Autophagy
GO Term: Clathrin Coat Disassembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Vesicle Uncoating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Volume-Sensitive Chloride Channel Activity -> Biodomain: Structural Stabilization, Apoptosis, Oxidative Stress, Vasculature, Immune Response
GO Term: Signal Transduction By P53 Class Mediator -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Udp-Galactose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Lactam Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Modified Amino Acid Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Rescue Of Stalled Ribosome -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Naadp-Sensitive Calcium-Release Channel Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Response To Anesthetic -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Tricarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone H3T3 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Chromosome Passenger Complex Localization To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Ptw/Pp1 Phosphatase Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Circulatory System Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Medium-Term Memory -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Protein Activation Cascade -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Blood Coagulation, Fibrin Clot Formation -> Biodomain: Vasculature, Immune Response, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trc Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Plus-End-Directed Vesicle Transport Along Microtubule -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Organelle Transport Along Microtubule -> Biodomain: Synapse, Endolysosome, Tau Homeostasis, Autophagy, Cell Cycle
GO Term: Minus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Plus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Synapse, Endolysosome, Myelination, Cell Cycle, Tau Homeostasis
GO Term: Flavin Adenine Dinucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Flavin Adenine Dinucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Microtubule Anchoring At Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Response To Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Response To G1 Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Msl Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Ammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Methylammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mesenchymal Stem Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
