Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Vasculature
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Oxidative Stress, Synapse, Immune Response, Apoptosis
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Growth Hormone Receptor Activity -> Biodomain: Synapse, Epigenetic, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Epigenetic
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Synapse, Epigenetic, Proteostasis, Autophagy
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Synapse
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Apoptosis
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Apoptosis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Oxidative Stress, Autophagy
GO Term: Prolactin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Signaling Pathways, Oxidative Stress, Epigenetic, Receptor Signaling
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Signaling, Neurodevelopment, Epigenetic, Lipid Metabolism
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Synapse, Signaling Receptor Activity, Molecular Transducer Activity, G Protein-Coupled Receptor Activity, Transmembrane Signaling Receptor Activity
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Bradykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Calcitonin Receptor Activity -> Biodomain: Synapse, Signaling, Calcium Signaling, Neuronal Signaling, Peptide Receptor Activity
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Signaling, Molecular Transducer, Receptor Activity, Neurotransmission
GO Term: Icosanoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Thromboxane Receptor Activity -> Biodomain: Synapse, Signaling, Vasculature, Cellular Processes, Oxidative Stress
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Synapse
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Cell Cycle, Epigenetic
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Endocrine, Signaling, Cell Surface Receptor, Synapse, Proteostasis
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Signaling, Neuronal Signaling, Oxidative Stress, Epigenetic
GO Term: Glucagon Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Endolysosome
GO Term: Histamine Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Neural Signaling, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Melanocortin Receptor Activity -> Biodomain: Synapse, Signaling Receptor Activity, Proteostasis, Immune Response, Epigenetic
GO Term: Corticotropin Receptor Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Epigenetic
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Epigenetic
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Epigenetic, Endolysosome, Autophagy, Synapse
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Synapse
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Vasopressin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Endolysosome
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Insulin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
