Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, Endolysosome
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Hormone Signaling, Transcription Regulation, Steroid Hormone Response
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Immune Response
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Signal Transduction, Receptor Signaling, Cell Surface Receptor, Intracellular Signaling, Ion Channel
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Neurotransmission & Receptors, Ion Channels & Transporters, Cell Signaling & Communication, Neurogenesis & Neurodegeneration
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Myelination, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Erythropoietin Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Metal Binding and Homeostasis, Immune Response
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Growth Hormone Receptor Activity -> Biodomain: Signaling Receptor Activity, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Immune Response
