Running with TEMP=0.9, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Mitochondrial Respiratory Chain Complex Ii Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Pirna Binding -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Proteostasis
GO Term: Pirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Hydroxyproline Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: L-Hydroxyproline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Synaptic Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Phosphatidylinositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Proteostasis
GO Term: Phosphatidylinositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Phosphatidylinositol Phosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Phosphatidylinositol Phosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-4,5-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Cellular Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Immune Response
GO Term: Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Apoptosis, Immune Response
GO Term: Tetrahydrobiopterin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Arginine Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Unfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Fatty Acid Elongation, Monounsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fatty Acid Elongation, Polyunsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Retinol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Retinol Transport -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Glutathione Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Glutathione Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Mitochondrion Migration Along Actin Filament -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Histone H3K4Me/H3K4Me2/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Cortisol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Epigenetic, Oxidative Stress
GO Term: Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Retinoic Acid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nucleobase-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Nucleobase-Containing Compound Catabolic Process -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Autophagy
GO Term: Nucleobase-Containing Small Molecule Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Gid Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Endoplasmic Reticulum Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Apoptosis
GO Term: Integrin Alpha1-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Integrin Alpha2-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Integrin Alpha3-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Integrin Alpha4-Beta1 Complex -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Integrin Alpha4-Beta7 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Chemotaxis To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inhibin-Betaglycan-Actrii Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Vasculature
GO Term: Integrin Alpha5-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alpha6-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Integrin Alpha6-Beta4 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Integrin Alpha7-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Apoptosis
GO Term: Integrin Alpha8-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Integrin Alpha9-Beta1 Complex -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Integrin Alpha10-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Cell Cycle
GO Term: Integrin Alpha11-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Integrin Alphav-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alphav-Beta3 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Integrin Alphav-Beta5 Complex -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Proteostasis
GO Term: Integrin Alphav-Beta6 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Integrin Alphav-Beta8 Complex -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Synapse
GO Term: Integrin Alphal-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Integrin Alpham-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Integrin Alphax-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Synapse
GO Term: U11/U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Response To Prostaglandin E -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Response To Prostaglandin F -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Response To Gonadotropin -> Biodomain: Endocrine, Signaling, Hormone Activity, Reproduction, Development
GO Term: Response To Luteinizing Hormone -> Biodomain: Endolysosome, Proteostasis, Cell Cycle, Apoptosis, Synapse
GO Term: Monoatomic Ion Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Cation Channel Complex -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Metal Binding and Homeostasis
GO Term: Calcium Channel Complex -> Biodomain: Synapse, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Potassium Channel Complex -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sodium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Autophagy
GO Term: Chloride Channel Complex -> Biodomain: Synapse, Endolysosome, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Methylosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
