Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Tau Homeostasis
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Cell Cycle
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Vasculature
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Vasculature, Proteostasis
GO Term: Telencephalon Regionalization -> Biodomain: Unknown, Epigenetic, Cell Cycle, Structural Stabilization, Synapse
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Pituitary Gland Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Epigenetic
GO Term: Adenohypophysis Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Neurohypophysis Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Unknown, Vasculature
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Neural Plate Axis Specification -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Unknown
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Unknown
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Apoptosis
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Unknown, Cell Cycle, Synapse, Myelination
GO Term: Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Synapse, Cell Cycle
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Synapse, RNA Spliceosome
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Endolysosome
GO Term: Telencephalon Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Vasculature
GO Term: Metencephalon Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Autophagy
GO Term: Corpus Callosum Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Hair Cycle Process -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Membrane Docking -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Immune Response
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Apoptosis
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Apoptosis
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Epigenetic, Synapse, Autophagy, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, DNA Repair, Autophagy
GO Term: Digestive System Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ovulation Cycle Process -> Biodomain: Vasculature, Apoptosis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Apoptosis, Proteostasis
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Apoptosis
GO Term: Mammalian Oogenesis Stage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Protein To Membrane Docking -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Vasculature, Endolysosome
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Oxidative Stress
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Gated Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Myelination, Apoptosis
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, Cell Cycle, Myelination
GO Term: Leak Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Endolysosome, Autophagy
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Myelination, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Ion Channel, Neurotransmitter Receptors and Transporters, Structural Stabilization, Proteostasis
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Immune Response, Autophagy
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Endolysosome
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Autophagy, Apoptosis
GO Term: Termination Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
