Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Endolysosome
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Autophagy
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Proteostasis, Endolysosome, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Proteostasis
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Signaling, Cell Cycle, Metal Binding and Homeostasis
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Signal Transduction, Cell Communication, Receptor Activity, Membrane Processes, Molecular Transducer Activity
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Epigenetic, Proteostasis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Growth Hormone Receptor Activity -> Biodomain: Signaling Receptor Activity, Transmembrane Signaling, Immune Response, Cytokine Signaling, Hormone Activity
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Signaling, Immune Regulation, Cellular Defense
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Cytokine Receptor Activity, Transmembrane Signaling Receptor Activity, Molecular Transducer Activity
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Cell Growth and Proliferation, Hematopoiesis, Receptor Signaling
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Cell Surface Receptor, Cytokine Binding, Hematopoiesis
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
