Running with TEMP=0.5, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Vasculature
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Autophagy
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Proteostasis
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Vasculature
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Growth Hormone Receptor Activity -> Biodomain: Growth Hormone Receptor Activity, Lipid Metabolism, Cell Cycle, Proteostasis, Immune Response, Vasculature
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Transcription, Apoptosis, Autophagy
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
