Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Digestive System Development -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Apoptosis, Epigenetic
GO Term: Vibrational Conductance Of Sound To The Inner Ear -> Biodomain: Structural Stabilization, Vasculature, Synapse, Unknown, Mitochondrial Metabolism
GO Term: L-Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: D-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: C3Hc4-Type Ring Finger Domain Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Epigenetic
GO Term: Minus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Plus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Proteostasis
GO Term: Copper Ion Export -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Reflex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Mitochondrial Metabolism
GO Term: Vestibular Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Linear Vestibuloocular Reflex -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Sertoli Cell Differentiation -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Sertoli Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Sertoli Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Synapse
GO Term: Sertoli Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Righting Reflex -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Granulosa Cell Differentiation -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Parathyroid Gland Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Astrocyte Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Synapse, Structural Stabilization, Unknown
GO Term: Radial Glial Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Epigenetic, Structural Stabilization, Synapse
GO Term: Bergmann Glial Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Roof Of Mouth Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Unknown
GO Term: Hard Palate Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Soft Palate Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Epigenetic, Immune Response
GO Term: Rhythmic Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Synaptic Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Convergent Extension -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Convergent Extension Involved In Gastrulation -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Proteostasis, Cell Cycle
GO Term: Convergent Extension Involved In Axis Elongation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Convergent Extension Involved In Organogenesis -> Biodomain: Structural Stabilization, Vasculature, Unknown, Unknown, Unknown
GO Term: Notochord Regression -> Biodomain: Apoptosis, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Anatomical Structure Regression -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Notochord Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Pharyngeal System Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Epigenetic, Unknown
GO Term: Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pericardium Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Retinal Bipolar Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Retina Development In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Synapse, Autophagy
GO Term: Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Synapse, Apoptosis, Cell Cycle
GO Term: Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Immune Response, Vasculature, Structural Stabilization
GO Term: Negative Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Regulation Of Acrosome Reaction -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cardiac Muscle Contraction -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Epigenetic
