Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Myoblast Fate Specification -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Myoblast Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Developmental Process, Muscle System, Tissue Development, Cell Growth
GO Term: Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Muscle Organ Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Muscle Organ Development -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Developmental Growth -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Positive Regulation Of Developmental Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Developmental Growth -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Muscle Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Animal Organ Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, DNA Repair, Apoptosis
GO Term: Anatomical Structure Formation Involved In Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Mitochondrial Metabolism
GO Term: Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Synapse, Apoptosis, Autophagy
GO Term: Neuron Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Neuron Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Unknown, Structural Stabilization, Autophagy
GO Term: Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Morphogenesis Involved In Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Regulation Of Collateral Sprouting -> Biodomain: Synapse, Vasculature, Structural Stabilization, Myelination, Proteostasis
GO Term: Negative Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Vasculature, Proteostasis
GO Term: Positive Regulation Of Collateral Sprouting -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Axon Extension -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Axon Extension Involved In Regeneration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Response To Axon Injury -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Axon Regeneration -> Biodomain: Synapse, Immune Response, Tau Homeostasis, Myelination, Proteostasis
GO Term: Negative Regulation Of Collateral Sprouting Of Intact Axon In Response To Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Sprouting Of Injured Axon -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Positive Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Myelination
GO Term: Negative Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Generation Of Neurons -> Biodomain: Cell Cycle, Apoptosis, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Embryonic Cranial Skeleton Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Immune Response
GO Term: Embryonic Neurocranium Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Embryonic Viscerocranium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Embryonic Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome, Vasculature
GO Term: Embryonic Skeletal System Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Epigenetic
GO Term: Astrocyte Differentiation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Oligodendrocyte Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Astrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Astrocyte Differentiation -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Negative Regulation Of Astrocyte Differentiation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Proteostasis, Synapse
GO Term: Positive Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Lipid Metabolism, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Cell Cycle, Epigenetic, Immune Response, Autophagy
GO Term: Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Endolysosome
GO Term: Epidermis Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Lipid Metabolism, Cell Cycle
GO Term: System Development -> Biodomain: Vasculature, Synapse, Myelination, Immune Response, Structural Stabilization
GO Term: Gland Development -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic, Autophagy
GO Term: Sebaceous Gland Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Muscle Development, Cell Differentiation, Organ Development, Tissue Development, Developmental Processes
GO Term: Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Semicircular Canal Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Unknown
GO Term: Pigment Granule Organization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Branching Morphogenesis Of An Epithelial Tube -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Unknown
GO Term: Pigment Granule Maturation -> Biodomain: Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Mesenchymal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Unknown
GO Term: Calcium-Induced Calcium Release Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sarcomerogenesis -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Tissue Remodeling -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Erythrophore Differentiation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Unknown
GO Term: Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Active Zone Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cytoskeleton Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Cytoskeletal Matrix Organization At Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, APP Metabolism
GO Term: Maintenance Of Presynaptic Active Zone Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium Ion-Regulated Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Spontaneous Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Pronephros Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Genitalia Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Female Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Male Genitalia Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Unknown
