Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Alkaline Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Amidase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Apyrase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Synapse, Proteostasis
GO Term: Arginase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Epigenetic
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Arylformamidase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Arylsulfatase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Asparaginase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Cell Cycle, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Biotin Carboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Apoptosis
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Epigenetic
GO Term: Carbonate Dehydratase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Myelination, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Choline Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Endolysosome
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
