Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Symbiont -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Response to Biotic Stimulus, Biological Process involved in Interspecies Interaction, Response to External Stimulus, Response to Symbiont
GO Term: Response To Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Response To Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Nematode -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cold Acclimation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Epigenetic, Apoptosis
GO Term: Response To Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Oxidative Stress, Synapse, Epigenetic, Autophagy, Cell Cycle
GO Term: Photoperiodism -> Biodomain: Epigenetic, Cell Cycle, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Entrainment Of Circadian Clock -> Biodomain: Epigenetic, Lipid Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Uv Protection -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Cell Cycle
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ethylene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Hormone -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Fructose -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Immune Response, Autophagy, Cell Cycle, Epigenetic
GO Term: Blue Light Signaling Pathway -> Biodomain: Oxidative Stress, Cellular Response to Stimulus, Signal Transduction, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic, Proteostasis
GO Term: Post-Embryonic Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Apoptosis
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Developmental Process, Regulation of Cellular Process, Mitotic Cell Cycle, Embryonic Development
GO Term: Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome, Synapse
GO Term: Coumarin Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Flavonoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Alkaloid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Embryonic Pattern Specification -> Biodomain: Developmental, Morphogenesis, Embryonic, Tissue Morphogenesis, Organ Development
GO Term: Photoreceptor Activity -> Biodomain: Signaling, Sensory System, Neuronal Signaling, Cell Adhesion, Membrane Trafficking
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Apoptosis
GO Term: Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Cell Cycle
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: External Side Of Plasma Membrane -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, APP Metabolism, Synapse, Proteostasis
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Hormone Transport -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Signal Transduction, Calcium Signaling, Protein Phosphorylation, Enzymatic Activity, Proteostasis
GO Term: Cell Tip Growth -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair
