Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Endolysosome, Proteostasis
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Phthalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Propylene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Guanyl Nucleotide Binding -> Biodomain: Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Immune Response, Endolysosome, APP Metabolism, Proteostasis, Autophagy
GO Term: Virion Assembly -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Virus Maturation -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Immune Response, Structural Stabilization
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Viral Translation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Viral Protein Processing -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, APP Metabolism
GO Term: Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Reproductive Behavior -> Biodomain: Tau Homeostasis, APP Metabolism, Synapse, Proteostasis, Immune Response
GO Term: Male Germ-Line Sex Determination -> Biodomain: Apoptosis, Epigenetic, Autophagy, Cell Cycle, Proteostasis
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic,Developmental Process,Reproductive Process,Cell Cycle,Autophagy
GO Term: Male Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Developmental Process, Immune Response
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Myristoyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
