Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Proteostasis, Epigenetic, Synapse, Apoptosis, Oxidative Stress
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Immune Response, Autophagy
GO Term: Sulfotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Biological Process -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Hedgehog Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Tau Homeostasis, DNA Repair
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, APP Metabolism, DNA Repair, Proteostasis
GO Term: N-Methyltransferase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
