Running with TEMP=0.1, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Digestive System Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Vibrational Conductance Of Sound To The Inner Ear -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: L-Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: D-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: C3Hc4-Type Ring Finger Domain Binding -> Biodomain: Proteostasis, Ubiquitination, Epigenetic, Apoptosis, DNA Repair
GO Term: Minus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Endolysosome
GO Term: Plus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Copper Ion Export -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Reflex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Vestibular Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Linear Vestibuloocular Reflex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sertoli Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Epigenetic
GO Term: Sertoli Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Proteostasis, Autophagy
