Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Endolysosome
GO Term: Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Regulation Of Serotonin Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cellular Response To Glyceraldehyde -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Acetaldehyde -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Proline Import Across Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Negative Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Torc1 Complex Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Torc2 Complex Disassembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Lipid Droplet Disassembly -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Immune Response
GO Term: Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, APP Metabolism
