Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Lipid Metabolism
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Myelination
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Myelination, Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Vasculature
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Telencephalon Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Tau Homeostasis
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
