Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Response To Symbiont -> Biodomain: Immune Response, Autophagy, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Wounding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Response To Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Fungus -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Nematode -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Unknown
GO Term: Cold Acclimation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Unknown
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, DNA Repair, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Response To Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Epigenetic, DNA Repair
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Epigenetic, Cell Cycle, Oxidative Stress, Autophagy, Unknown
GO Term: Photoperiodism -> Biodomain: Epigenetic, Autophagy, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Entrainment Of Circadian Clock -> Biodomain: Epigenetic, Oxidative Stress, Autophagy, Cell Cycle, Proteostasis
GO Term: Uv Protection -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Autophagy
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Ethylene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Cell Cycle, Metal Binding and Homeostasis
GO Term: Response To Hormone -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Fructose -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Epigenetic, Apoptosis
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Endolysosome, Synapse, Vasculature, Lipid Metabolism
GO Term: Blue Light Signaling Pathway -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Post-Embryonic Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Synapse
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Vasculature, Structural Stabilization
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Proteostasis
GO Term: Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: Coumarin Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Flavonoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Alkaloid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Vasculature
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Embryonic Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Metal Binding and Homeostasis, Unknown, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Unknown
GO Term: Tissue Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: External Side Of Plasma Membrane -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Synapse
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Hormone Transport -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Unknown
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Synapse, Cell Cycle
GO Term: Cell Tip Growth -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Tau Homeostasis
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Unknown
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Unknown
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Unknown
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Unknown
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Epigenetic, Unknown, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Radial Pattern Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Synapse
GO Term: Epidermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Synapse, Proteostasis
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cell Surface -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Endolysosome
GO Term: Cell-Cell Recognition -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Unknown
GO Term: Intracellular Water Homeostasis -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oocyte Differentiation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Immune Response, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Cardioblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Endolysosome, Autophagy
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Apoptosis
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Autophagy
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Response To Aluminum Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Nickel Cation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
