Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Platelet Activating Factor Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Endolysosome
GO Term: Protein Localization To Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Specification Of Axis Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, DNA Repair
GO Term: Intracellular Protein Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Protein-Containing Complex Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair, Epigenetic
GO Term: Protein-Dna Complex Assembly -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Protein-Lipid Complex Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Biological Quality -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Extracellular Membrane-Bounded Organelle -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Glutamic-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Unknown
GO Term: Cysteine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cysteine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Metalloaminopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Serine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Serine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Oligopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Intracellular Organelle Lumen -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Armadillo Repeat Domain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Immune Response
GO Term: Transforming Growth Factor Beta Ligand-Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Carbon Monoxide Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Nitric Oxide Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin I Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin Ii Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Telomerase Rna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Rrna (Pseudouridine) Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Unknown
GO Term: Rrna (Guanosine-2'-O-)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Structural Stabilization, Proteostasis, Unknown
GO Term: Rrna (Uridine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Rrna (Uridine-N3-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neuron Cellular Homeostasis -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Fibrinogen Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress
