Running with TEMP=0.1, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lactase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Alpha-Glucoside Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Maltose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Maltose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Immune Response, Structural Stabilization
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response, APP Metabolism
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Acyl Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Peptidyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Trna Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization
GO Term: Urea Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Citrulline Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Epigenetic, Vasculature, Oxidative Stress
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
