Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Endolysosome
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Endolysosome
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Vesicular Trafficking, Cell Surface Receptor Activity, Glycobiology
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Autophagy
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Mitochondrial Metabolism, Oxidative Stress, DNA Repair
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cytokine Signaling, Signal Transduction, Innate Immunity, Hematopoiesis
GO Term: Growth Hormone Receptor Activity -> Biodomain: Signaling, Hormonal Signaling, Cell Growth and Proliferation, Metabolic Processes, Membrane Receptor
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor, Cytokine Signaling, Cell Surface
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
