Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Lactase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Alpha-Glucoside Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Immune Response
GO Term: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Maltose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Maltose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Immune Response
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy, Immune Response
GO Term: Acyl Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Peptidyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Trna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, RNA Spliceosome
GO Term: Urea Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Citrulline Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Vasculature, Proteostasis
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolic Process, Nitrogen Compound Metabolic Process, Vasculature, Organic Acid Metabolic Process
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
