Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Poly(A) Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, RNA Spliceosome, Oxidative Stress
GO Term: Sulfotransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature
GO Term: Biological Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Immune Response
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Dna Replication -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Hedgehog Receptor Activity -> Biodomain: Signaling Receptor Activity, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, DNA Repair
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, DNA Repair, Tau Homeostasis, Proteostasis
GO Term: N-Methyltransferase Activity -> Biodomain: Tau Homeostasis, Epigenetic, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Oxidative Stress, DNA Repair
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Synapse, APP Metabolism, Apoptosis, Autophagy
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Rna Guanylyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, RNA Spliceosome
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Proteostasis, APP Metabolism
GO Term: Ferric Iron Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Heparin Binding -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Spermine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, DNA Repair
GO Term: Spermidine Metabolic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Cell Death -> Biodomain: Apoptosis, Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, APP Metabolism
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Metalloexopeptidase Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Autophagy
GO Term: Metallopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Immune Response
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Tau Homeostasis
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, APP Metabolism
GO Term: 3'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic, DNA Repair
