Running with TEMP=0.9, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Platelet Activating Factor Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Protein Localization To Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Specification Of Axis Polarity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Intracellular Protein Transmembrane Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, APP Metabolism
GO Term: Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair, Epigenetic
GO Term: Protein-Dna Complex Assembly -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Protein-Lipid Complex Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Myelination, Autophagy
GO Term: Regulation Of Biological Quality -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Extracellular Membrane-Bounded Organelle -> Biodomain: Immune Response, Apoptosis, Vasculature, Lipid Metabolism, APP Metabolism
GO Term: Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Glutamic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Cysteine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Cysteine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Metalloaminopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Serine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Serine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Oligopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Intracellular Organelle Lumen -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Armadillo Repeat Domain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
