Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cardiolipin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Clathrin Heavy Chain Binding -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Clathrin Light Chain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Bile Acid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Ciliary Basal Body Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Translation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Negative Regulation Of Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Bleb -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Bleb Assembly -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Regulation Of Restriction Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, RNA Spliceosome, Endolysosome
GO Term: Negative Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Endodeoxyribonuclease Activity -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Nacht Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Pyrin Domain Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Positive Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Sam Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Response To Food -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Appetite -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Appetite -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Vasculature, Immune Response
GO Term: Positive Regulation Of Appetite -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Epigenetic, Immune Response
GO Term: Regulation Of Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Smc Loading Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Dense Core Granule Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
