Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Cell Cycle, Developmental Process, Biological Regulation, Cellular Homeostasis
GO Term: Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Anergy -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Inflammatory Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Burst Involved In Defense Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Immune Effector Process -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Production Of Molecular Mediator Of Immune Response -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Immune Regulation, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Mitochondrial Metabolism, Synapse, Apoptosis, Autophagy
GO Term: Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of B Cell Cytokine Production -> Biodomain: Immune Response, Regulation Of Immune Response, Cytokine Signaling, Cell Activation And Proliferation, Adaptive Immunity
GO Term: Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Cytokine Signaling, Cell Death, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Myeloid Dendritic Cell Cytokine Production -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative Regulation Of Plasmacytoid Dendritic Cell Cytokine Production -> Biodomain: Immune Response  
Proteostasis  
Autophagy  
Apoptosis  
Cell Cycle
GO Term: Antigen Processing And Presentation Following Phagocytosis -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cell Surface Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Oxidative Stress, Proteostasis, Autophagy
GO Term: Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Innate Immune Response, Defense Response, Inflammation, Response to Biotic Stimulus
GO Term: Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Innate Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Defense Response, Response to External Stimulus, Regulation of Immune System, Regulation of Biological Process
GO Term: Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Developmental Biology, Hematopoiesis, Signal Transduction
GO Term: Negative Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Immune Response-Regulating Signaling Pathway -> Biodomain: Immune Response, Signal Transduction, Regulation of Immune System Process, Cellular Response to Stimulus, Response to Stimulus
