Running with TEMP=0.0, sub_array_index=34
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 34: rows 16500 to 16999
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Synapse, Unknown
GO Term: Dextrin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Sarcosine Metabolic Process -> Biodomain: Proteostasis, Synapse, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Sarcosine Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Synapse, Proteostasis
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Unknown, Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Unknown
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Unknown, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Gentamycin Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Insulin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Insulin Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Unknown
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Unknown
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Unknown, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Unknown, Structural Stabilization, Proteostasis, Synapse, Epigenetic
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Cell Differentiation, Epigenetic
GO Term: Naphthalene Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Immune Response, Endolysosome, Apoptosis
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Unknown
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Unknown
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Unknown
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Unknown, Vasculature, Synapse, Epigenetic
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Structural Stabilization, Vasculature, Unknown, Synapse, Cell Cycle
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Unknown, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Unknown, Cell Cycle, Structural Stabilization, Epigenetic, Immune Response
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Endolysosome, Vasculature
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Unknown, Proteostasis
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Unknown
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Carbohydrate Derivative Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Tartrate Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Succinyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Succinyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
