Running with TEMP=0.1, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Photoreceptor Cell Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Chemorepellent Activity -> Biodomain: Immune Response, Synapse, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Dynein Light Chain Binding -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Dynein Heavy Chain Binding -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Cell Cycle
GO Term: Dynein Intermediate Chain Binding -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Interleukin-27 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-27 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-18 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-20 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-22 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Interleukin-23 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Syndecan Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Ditrans,Polycis-Polyprenyl Diphosphate Synthase [(2E,6E)-Farnesyl Diphosphate Specific] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Geranylgeranyl Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Trail Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Basophil Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: Mast Cell Activation -> Biodomain: Immune Response, Inflammation, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, DNA Repair
GO Term: Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, RNA Spliceosome
