Running with TEMP=0.0, sub_array_index=34
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 34: rows 16500 to 16999
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Dextrin Catabolic Process -> Biodomain: Unknown, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Sarcosine Metabolic Process -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Unknown
GO Term: Sarcosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Gentamycin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Insulin Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Insulin Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis,Tau Homeostasis,Oxidative Stress,Proteostasis,Immune Response
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Unknown
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Cell Cycle
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Naphthalene Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Immune Response, Synapse, APP Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Immune Response, Synapse, APP Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, APP Metabolism, Immune Response
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Synapse
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, APP Metabolism
GO Term: Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Unknown, Immune Response, Apoptosis
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Vasculature, Structural Stabilization, Unknown, Immune Response, Proteostasis
