Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Respiratory Burst Involved In Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Inflammation, Vasculature, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Vasculature
GO Term: Positive Regulation Of Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Production Of Molecular Mediator Of Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
