Running with TEMP=0.1, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Phosphatidylinositol Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Myelination
GO Term: Metalloendopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Protein Localization To Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Protein Localization To Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Mitotic Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mitotic Dna Replication Preinitiation Complex Assembly -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Dna Strand Elongation Involved In Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Mitotic Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Phospholipid Efflux -> Biodomain: Lipid Metabolism, Myelination, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization, Synapse
GO Term: Negative Regulation Of Phospholipid Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Myelination, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Organelle Disassembly -> Biodomain: Autophagy, Apoptosis, Endolysosome, Proteostasis, Cell Cycle
GO Term: Regulation Of Bone Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Bone Development -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Bone Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Exo-Alpha-Sialidase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism, DNA Repair
GO Term: Negative Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Immune Response, Apoptosis
GO Term: Regulation Of Opsonization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Opsonization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Response To Wounding -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Cell Adhesion, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Localization To Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Melanosome Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of C-C Chemokine Receptor Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Protein Localization To Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 3,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Localization To Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Negative Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mononuclear Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cupric Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Cuprous Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Adrenomedullin Receptor Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Glyoxal Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of L-Dopa Biosynthetic Process -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Podocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Negative Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Protein Processing Involved In Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Mrna Base-Pairing Post-Transcriptional Repressor Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Melanosome Assembly -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: U2-Type Prespliceosome Assembly -> Biodomain: RNA Spliceosome, RNA Metabolism, Transcriptional Regulation, mRNA Processing, Protein Complex Assembly
GO Term: Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Vasculature, Oxidative Stress, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Exon-Exon Junction Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Sodium Ion Export Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, DNA Repair
GO Term: Regulation Of Potassium Ion Import -> Biodomain: Ion Homeostasis, Membrane Transport, Cell Signaling, Metabolic Processes, Electrolyte Balance
GO Term: Negative Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Immune Response
GO Term: Positive Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Protein Localization To Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Hypoxia-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Glycolysis and Glucose Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
