Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Myoblast Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: Myoblast Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Muscle Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Muscle Organ Development -> Biodomain: Muscle Development, Regulation, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Regulation Of Developmental Growth -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Developmental Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Negative Regulation Of Developmental Growth -> Biodomain: Developmental Biology, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Muscle Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Animal Organ Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Anatomical Structure Formation Involved In Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Cell Cycle
GO Term: Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Synapse
GO Term: Neuron Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Synapse
GO Term: Neuron Fate Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cell Morphogenesis Involved In Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Myelination
GO Term: Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Collateral Sprouting -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Axon Injury -> Biodomain: Synapse, Immune Response, Autophagy, Tau Homeostasis, Structural Stabilization
GO Term: Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Collateral Sprouting Of Intact Axon In Response To Injury -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Myelination
GO Term: Positive Regulation Of Sprouting Of Injured Axon -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
