Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Benzene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Phthalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Propylene Metabolic Process -> Biodomain: Lipid Metabolism, Detoxification, Metabolic Processes, Cellular Response, Chemical Metabolism
GO Term: Thiocyanate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Guanyl Nucleotide Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Gmp Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Autophagy
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Autophagy, DNA Repair, Epigenetic
GO Term: Viral Life Cycle -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Lipid Metabolism
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, APP Metabolism
