Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Apoptosis
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Synapse, Oxidative Stress
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Nuclear Receptor Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Epigenetic
GO Term: Erythropoietin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Autophagy
GO Term: Growth Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Oxidative Stress, Lipid Metabolism
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Synapse
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Cytokine Signaling, Synapse, Epigenetic, Autophagy
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Epigenetic
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Synapse, Epigenetic, Proteostasis, Autophagy
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Epigenetic, Autophagy, Synapse, Proteostasis
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Autophagy
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Apoptosis
GO Term: Prolactin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Cell Cycle
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Vasculature
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Bradykinin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Calcitonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
