Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Alkaline Phosphatase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Amidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Apoptosis
GO Term: Apyrase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Synapse, Oxidative Stress
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, APP Metabolism, Proteostasis
GO Term: Arginase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Nitric Oxide Production, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Arylformamidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Neurotransmitter, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Asparaginase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Biotin Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Carbonate Dehydratase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Myelination, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Choline Kinase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Synapse, Oxidative Stress
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, APP Metabolism, Tau Homeostasis
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, RNA Spliceosome, Tau Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Cytidine Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dihydrofolate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dihydroorotase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Lipid Metabolism
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dihydropyrimidinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dopachrome Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Immune Response
GO Term: Dolichol Kinase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Immune Response, Autophagy
GO Term: Carboxypeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Tau Homeostasis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Tau Homeostasis, Endolysosome, Autophagy, Proteostasis
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Synapse, Structural Stabilization
GO Term: Metalloendopeptidase Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Proteostasis, Vasculature, Endolysosome, Immune Response, Oxidative Stress
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epoxide Hydrolase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic, Proteostasis
GO Term: Ethanolamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Synapse, Proteostasis
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Exopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Myelination, Endolysosome
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Galactokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Myelination, Synapse
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Tau Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gluconolactonase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Tau Homeostasis
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
