Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Benzene Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Phthalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Propylene Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Guanyl Nucleotide Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Synapse
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, APP Metabolism
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, APP Metabolism
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, APP Metabolism, Autophagy
GO Term: Virion Assembly -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Virus Maturation -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Apoptosis
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Viral Translation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Viral Protein Processing -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Apoptosis
GO Term: Viral Transcription -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Reproductive Behavior -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Male Germ-Line Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Endolysosome
GO Term: Male Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, Immune Response
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Immune Response, Lipid Metabolism
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Synapse, Immune Response
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Neurotransmitter Systems, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: D-Ribulokinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Mannokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Immune Response
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Amino Acid Kinase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, APP Metabolism, Lipid Metabolism, Endolysosome
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Apoptosis
