Running with TEMP=0.9, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Chromosomal Region -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Parallel Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Glycinergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dopaminergic Synapse -> Biodomain: Synapse, Neurotransmitter Levels and Transport, Neuronal Signaling, Nervous System, Synaptic Plasticity
GO Term: Regulation Of Synaptic Vesicle Cycle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Inositol 1,4,5-Trisphosphate Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Postsynaptic Specialization Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Presynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Copper Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: D-Glucose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Autophagy
GO Term: Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Serine Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Sodium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Structural Stabilization, Proteostasis
GO Term: Skeletal Muscle Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding, Autophagy
GO Term: Symmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Maintenance Of Cell Number -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Macromolecule Deacylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Macromolecule Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Synapse, Structural Stabilization
GO Term: Positive Regulation Of The Force Of Heart Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Protein Insertion Into Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Import Across Plasma Membrane -> Biodomain: Endolysosome, Immune Response, Lipid Metabolism, Vasculature, Synapse
GO Term: Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Myelination
GO Term: Cell Aggregation -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Fast, Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
