Running with TEMP=0.5, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Autophagy
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Lactase Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Alpha-Glucoside Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Immune Response, Autophagy
GO Term: Regulation Of Mitotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Maltose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Maltose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Mitochondrial Metabolism
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Acyl Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Peptidyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Trna Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Urea Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Citrulline Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Myelination
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
