Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Platelet Activating Factor Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Vasculature, Oxidative Stress
GO Term: Protein Localization To Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Specification Of Axis Polarity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Intracellular Protein Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Protein-Dna Complex Assembly -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Protein-Lipid Complex Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Myelination, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Biological Quality -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Epigenetic, Cell Cycle
GO Term: Extracellular Membrane-Bounded Organelle -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, APP Metabolism, Apoptosis
GO Term: Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Glutamic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cysteine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cysteine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Metalloaminopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Serine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Oligopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Intracellular Organelle Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Armadillo Repeat Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Apoptosis
GO Term: Transforming Growth Factor Beta Ligand-Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
GO Term: Carbon Monoxide Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Nitric Oxide Binding -> Biodomain: Oxidative Stress, Vasculature, Synapse, Immune Response, Metal Binding and Homeostasis
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin I Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin Ii Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Telomerase Rna Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Rrna (Pseudouridine) Methyltransferase Activity -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Cell Cycle
GO Term: Rrna (Guanosine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Rrna (Uridine-C5-)-Methyltransferase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Rrna (Uridine-N3-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Rrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A Complex -> Biodomain: Synapse, Proteostasis, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Neuron Cellular Homeostasis -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Fibrinogen Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Collagen V Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Cell Cycle
GO Term: Thrombospondin Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
