Running with TEMP=0.9, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Mesonephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Proteostasis, Endolysosome
GO Term: Nephric Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Nephric Duct Formation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Mesonephric Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Mesonephric Duct Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Renal Vesicle Progenitor Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Ureter Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Ureter Urothelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Ureter Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Autophagy, Proteostasis
GO Term: Ureter Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Autophagy, Epigenetic
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Vasculature, Proteostasis
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, DNA Repair
GO Term: Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Apoptosis
GO Term: Metanephric Collecting Duct Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Metanephric Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Metanephric Smooth Muscle Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Metanephric Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Metanephric Capsule Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Proteostasis, Autophagy
GO Term: Metanephric Cortex Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Metanephric Ascending Thin Limb Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Metanephric Cortical Collecting Duct Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Descending Thin Limb Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Metanephric Distal Convoluted Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Metanephric Macula Densa Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Metanephric Proximal Convoluted Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Metanephric Proximal Straight Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Metanephric Proximal Convoluted Tubule Segment 2 Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Metanephric Thick Ascending Limb Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Metanephric Nephron Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Cell Cycle
GO Term: Metanephric Distal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Metanephric Loop Of Henle Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Metanephric Proximal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Metanephric Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Metanephric Dct Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Metanephric Podocyte Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Metanephric Glomerular Mesangial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Metanephric Glomerular Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Metanephric Interstitial Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Metanephric Glomerular Mesangial Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, DNA Repair
GO Term: Metanephric Capsule Specification -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Pattern Specification Involved In Metanephros Development -> Biodomain: Epigenetic, Vasculature, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Proximal/Distal Pattern Formation Involved In Metanephric Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Metanephric Nephron Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
