Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Zinc Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: L-Glutamine, Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Asparagine, Sodium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: L-Histidine, Sodium:Proton Antiporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Histone H2B C-Terminal K Residue Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Cholesterol-Protein Transferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Histone H3T45 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H2Ak15 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Dna Repair-Dependent Chromatin Remodeling -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Histone H2Ak119 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2Ak127 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Ubiquitin Ligase Activity, Cell Cycle
GO Term: Histone H2Ak129 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Ubiquitin-Proteasome System, DNA Repair, Proteostasis, Cell Cycle
GO Term: Interleukin-22-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Mirna Inhibitor Activity Via Base-Pairing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Immune Response
