Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Immune Response, Apoptosis, Cell Cycle
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Biological Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Adhesion and Migration, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair  
Cell Cycle  
Epigenetic  
Proteostasis  
Apoptosis
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Hedgehog Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Structural Stabilization, Immune Response
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Lipid Metabolism, Cell Cycle
GO Term: O-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Autophagy, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Glycogen Metabolism, Carbohydrate Metabolism, Energy Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Oxidative Stress
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Epigenetic, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, DNA Repair, Proteostasis
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Metabolic Processes, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Heparin Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Spermine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, RNA Spliceosome, Epigenetic
GO Term: Spermidine Metabolic Process -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Immune Response
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Apoptosis, APP Metabolism
GO Term: Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Endolysosome, Structural Stabilization
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Oxidative Stress
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: 3'-Nucleotidase Activity -> Biodomain: Proteostasis, DNA Repair, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
