Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Symbiont -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Response To Wounding -> Biodomain: Immune Response, Apoptosis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Virus -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Bacterium -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Response To Fungus -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Nematode -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Autophagy, Epigenetic
GO Term: Cold Acclimation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis, DNA Repair
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, DNA Repair
GO Term: Response To Light Intensity -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Autophagy, Immune Response
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Lipid Metabolism, Apoptosis, Autophagy, DNA Repair
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Oxidative Stress, Autophagy, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Photoperiodism -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Autophagy, Oxidative Stress
GO Term: Entrainment Of Circadian Clock -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle, Synapse
GO Term: Uv Protection -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Proteostasis
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ethylene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Cell Cycle, Autophagy, Epigenetic
GO Term: Response To Hormone -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Fructose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Cell Cycle, Apoptosis, Autophagy
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Autophagy, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Blue Light Signaling Pathway -> Biodomain: Photoreception, Signal Transduction, Circadian Rhythms, Epigenetic, Oxidative Stress
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Post-Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Synapse
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Coumarin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Flavonoid Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Alkaloid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Embryonic Pattern Specification -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
