Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Unknown
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Tau Homeostasis  
Cell Cycle
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Myelination, Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Telencephalon Regionalization -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Unknown
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Pituitary Gland Development -> Biodomain: Endocrine System, Developmental Biology, Neurodevelopment, Organogenesis, Cell Differentiation
GO Term: Adenohypophysis Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Neurohypophysis Development -> Biodomain: Synapse, Vasculature, Structural Stabilization, Endolysosome, Immune Response
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Neurodevelopment, Developmental Process
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Neural Plate Axis Specification -> Biodomain: Structural Stabilization, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Structural Stabilization, Synapse, Unknown, Vasculature, Mitochondrial Metabolism
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Developmental Process, Tissue Morphogenesis, Embryonic Development, Neural Development, Structural Stabilization
GO Term: Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Autophagy
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Central Nervous System Myelination -> Biodomain: Myelination
Structural Stabilization
Lipid Metabolism
Cell Cycle
Synapse
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Epigenetic
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Epigenetic, Myelination
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Proteostasis, Unknown
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Autophagy
GO Term: Metencephalon Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Corpus Callosum Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Hair Cycle Process -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Membrane Docking -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Synapse
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Epigenetic, Unknown, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, DNA Repair, Apoptosis
GO Term: Digestive System Process -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ovulation Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Vasculature
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Myelination
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Lipid Metabolism, Proteostasis
GO Term: Mammalian Oogenesis Stage -> Biodomain: Cell Cycle, Developmental Process, Reproductive Process, Cell Differentiation, Germ Cell Development
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Unknown
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Protein To Membrane Docking -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Immune Response
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, RNA Spliceosome
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Structural Stabilization, RNA Spliceosome, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Myelination, Oxidative Stress
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Immune Response, Metal Binding and Homeostasis, Vasculature, Oxidative Stress
GO Term: Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Leak Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Unknown, Immune Response
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Unknown, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Transmembrane Transporter Activity -> Biodomain: Endolysosome,Lipid Metabolism,Mitochondrial Metabolism,Metal Binding and Homeostasis,Synapse
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Membrane Transport, Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Synapse
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Immune Response, Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Termination Of Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Cell Cycle
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Signal Transduction, Cell Communication, Regulation of Biological Process, Cellular Process
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Synapse, Vasculature, Proteostasis
GO Term: Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Synapse, Autophagy, Vasculature
GO Term: Signal Release -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Trapp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Establishment Of Cell Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
