Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Unknown
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, Autophagy
GO Term: Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Immune Response, Endolysosome
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Autophagy
GO Term: Biological Process -> Biodomain: Unknown, Proteostasis, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Autophagy
GO Term: Negative Regulation Of Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Synapse
GO Term: Hedgehog Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Immune Response
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Lipid Metabolism, Cell Cycle, Metal Binding and Homeostasis
GO Term: S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
