Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis, Vasculature
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Alkaline Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Unknown
GO Term: Amidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Apyrase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Unknown
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Arginase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Unknown
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Arylformamidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
