Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Cell Cycle
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Structural Stabilization  
Synapse  
Tau Homeostasis  
Myelination  
Proteostasis
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, DNA Repair
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Myelination, Structural Stabilization, Immune Response, Autophagy
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Telencephalon Regionalization -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Myelination, Structural Stabilization
GO Term: Pituitary Gland Development -> Biodomain: Endocrine System, Hormone Secretion, Cellular Development, Nervous System Development, Organ Development
GO Term: Adenohypophysis Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Neurohypophysis Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
