Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis, Immune Response
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Tau Homeostasis, Apoptosis
GO Term: Sulfotransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, APP Metabolism, Tau Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Biological Process -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Hedgehog Receptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Autophagy, Structural Stabilization
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: O-Methyltransferase Activity -> Biodomain: Tau Homeostasis, Epigenetic, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Lipid Metabolism, Proteostasis, DNA Repair
GO Term: Trna Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, RNA Spliceosome
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Autophagy, Epigenetic
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, APP Metabolism
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Ferric Iron Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Tau Homeostasis, Lipid Metabolism
