Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Vasculature
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Endolysosome
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Receptor Signaling, Cell Surface Receptor, Apoptosis, Cell Cycle
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Signaling, Synapse, Neurogenesis, Apoptosis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Cell Cycle
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Growth Hormone Receptor Activity -> Biodomain: Signaling, Receptor Activity, Cell Growth and Differentiation, Hormone Response, Metabolism Regulation
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
