Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Proteostasis, Apoptosis
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Poly(A) Binding -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Tau Homeostasis
GO Term: Sulfotransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Biological Process -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Hedgehog Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, APP Metabolism, Lipid Metabolism
