Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Oxidative Stress
GO Term: Cardiolipin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Clathrin Heavy Chain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Clathrin Light Chain Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Immune Response
GO Term: Bile Acid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ciliary Basal Body Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Negative Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Translation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Immune Response, Apoptosis
GO Term: Negative Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Epigenetic, Immune Response
GO Term: Bleb -> Biodomain: Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Bleb Assembly -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Restriction Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Endolysosome, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Metal Binding and Homeostasis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nacht Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Pyrin Domain Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Apoptosis, Autophagy
GO Term: Sam Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Response To Food -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Appetite -> Biodomain: Lipid Metabolism, Epigenetic, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Appetite -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Appetite -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Regulation Of Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Smc Loading Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Dense Core Granule Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Vasculature
GO Term: Histone H3K9 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
