Running with TEMP=0.9, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Zinc Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: L-Glutamine, Sodium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Asparagine, Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: L-Histidine, Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Kinase Activity -> Biodomain: Transcription, Post-translational Modification, mRNA Processing, Transcription Regulation, Nucleic Acid Binding
GO Term: Histone H2B C-Terminal K Residue Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, APP Metabolism
GO Term: Cholesterol-Protein Transferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Histone H3T45 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Histone H2Ak15 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Dna Repair-Dependent Chromatin Remodeling -> Biodomain: DNA Repair, Epigenetic, Chromatin Organization, Cell Cycle, Structural Stabilization
GO Term: Histone H2Ak119 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Endolysosome
GO Term: Histone H2Ak127 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Cell Cycle
GO Term: Histone H2Ak129 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Interleukin-22-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mirna Inhibitor Activity Via Base-Pairing -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Proteostasis
