Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, APP Metabolism, Tau Homeostasis
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Unknown
GO Term: Sulfotransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Unknown, Vasculature, Proteostasis, Synapse
GO Term: Biological Process -> Biodomain: Unknown, Proteostasis, APP Metabolism, Tau Homeostasis, Immune Response
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cytoskeleton Organization, Cellular Component Organization
GO Term: Negative Regulation Of Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hedgehog Receptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, APP Metabolism
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Oxidative Stress, Proteostasis
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, DNA Repair, APP Metabolism
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, APP Metabolism, Tau Homeostasis
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, APP Metabolism, Unknown
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Trna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Tau Homeostasis
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Immune Response, Unknown
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Synapse, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Synapse
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, RNA Spliceosome
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Autophagy
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Heparin Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Synapse
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Oxidative Stress, Vasculature
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Synapse, Immune Response
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Spermine Metabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Spermidine Metabolic Process -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Endolysosome, APP Metabolism
GO Term: Cell Death -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Immune Response, Endolysosome
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Tau Homeostasis, Autophagy
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress, Synapse
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Metallopeptidase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Immune Response
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Immune Response
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Nucleotidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: 3'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Unknown, Proteostasis
