Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Dna Protection -> Biodomain: DNA Repair, Oxidative Stress, Response to Stress, Macromolecule Metabolism, Nucleic Acid Metabolism
GO Term: Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Innate Immune Response, Defense Response, Endolysosome
GO Term: Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Innate Immune Response, Defense Response, Regulation of Immune Response
GO Term: Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Susceptibility To Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Nuclear Rna Export Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Endolysosome, Unknown
GO Term: Ribosomal Large Subunit Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Ribosomal Small Subunit Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Epigenetic
GO Term: Error-Free Postreplication Dna Repair -> Biodomain: DNA Repair, DNA Damage Response, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Unknown
GO Term: Peptide Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Purine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Apoptosis
GO Term: Dolichyl Pyrophosphate Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Unknown
GO Term: Dolichyl Pyrophosphate Glc1Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Sphingolipid Delta-4 Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Xylosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Vasculature
GO Term: Mhc Protein Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
